Step,q1_Short,q2_Short,dq1_Short,dq2_Short,q1_NN,q2_NN,dq1_NN,dq2_NN,q1_Bench,q2_Bench,dq1_Bench,dq2_Bench
0,-1.0889504243436707e-29,1.967601885078672e-30,-6.712535512568936e-30,-1.119116441025388e-29,5.4293805673650675e-30,-5.525994972410149e-31,-1.5749387902899648e-28,-6.69069264174153e-29,-4.940988210011752e-30,2.310933540871434e-30,2.259858968208138e-30,2.647263587183886e-30
1,6.440650969360774e-07,0.00199870044246505,0.0001296080107108436,0.1997394426539291,0.003995416600920055,-0.005993445216239666,0.3990928022804067,-0.5987014512506171,6.482211679016026e-07,0.0019986975050488003,0.0001300232505681284,0.19973914937588683
2,1.035772426909989e-05,0.007979180672022045,0.0010336276967067236,0.39792120205752624,0.015928982056242186,-0.02389807487785846,0.7930315439623501,-1.189973923664087,1.0378557459612036e-05,0.007979164934568189,0.0010348786812307367,0.39792021724206666
3,5.207052949829214e-05,0.01789506051351213,0.0034461985386040317,0.5930342234224752,0.03565611990278295,-0.053503440590457176,1.177993191110212,-1.768034846126899,5.2128025920413846e-05,0.017895015180715557,0.003448610637801687,0.5930322529344618
4,0.00016266902759105785,0.03167058418213742,0.008022821467913764,0.7836592585099194,0.06297927193180108,-0.09451255190141428,1.5526795480876996,-2.3302329132041724,0.00016279009838882417,0.03167048628943454,0.008026761348715893,0.7836559802649197
5,0.000391075321908414,0.04920288009784031,0.015306370252817291,0.9685105048047609,0.09716051565567319,-0.14550982359233464,1.864328310794115,-2.7673877568603285,0.0003912957894055177,0.049202698858989875,0.015312361875561276,0.9685054595505548
6,0.0007957037645799555,0.0703650043220642,0.02569919315728344,1.1464720054305446,0.13436186937404063,-0.19864306345346897,1.8546802678594232,-2.5441515046944785,0.000796074139656337,0.07036469587578986,0.025708180653559662,1.1464643463213244
7,0.001441428527626802,0.09500964922583048,0.03944233805547263,1.316627451187523,0.17129685239598483,-0.24720110235363885,1.8374311221342712,-2.3097309948169364,0.0014420337302525105,0.09500913784470885,0.03945681624210828,1.3166148422630635
8,0.0023956669597175835,0.12297391371562716,0.056548096222343795,1.4783361677926266,0.20780024107503492,-0.2909546042105121,1.8113769705818776,-2.063680833139427,0.002397234735796383,0.12297248849429263,0.056629808692041754,1.4782575233211757
9,0.003619654892820999,0.15418810725051657,0.06639335122183102,1.641542699372161,0.2436894659003649,-0.32967203702866044,1.7759740716590047,-1.8062027734998494,0.0037294387764816046,0.15407949340894556,0.07712634661470269,1.6309206151208877
10,0.0048570889258773816,0.18878524233327756,0.05785909074909153,1.8165466565364994,0.27877693268366405,-0.36313109309544,1.7312465604141127,-1.5379907364551548,0.005502728315332201,0.18814773165718826,0.100681427214715,1.7743579622827614
11,0.005735445562917533,0.22699650094176566,0.03044277507954611,2.0028648670486717,0.31288032349396616,-0.39112695822558363,1.6776799153569006,-1.260075800679526,0.007774376862701511,0.22499201417113632,0.12688256525035738,1.9085358419327583
12,0.006323748471432873,0.2681205706918913,0.028860910080735734,2.1077768370947423,0.34583075931618545,-0.41347768901359483,1.616115568927693,-0.9736946170744181,0.01059212603020432,0.2644284155434695,0.15519345362396167,2.033609763233683
13,0.007111671111823253,0.3105798374064267,0.05041910985328698,2.136394957455886,0.3774789395805818,-0.4300272816227534,1.5476549365535388,-0.6801909369733933,0.013991988099464572,0.30627775788565365,0.1849824731125708,2.149893279561222
14,0.008481028017602145,0.3530248702183356,0.08702319876503442,2.1064022182693627,0.40769948985820387,-0.44064711576471854,1.4735765455723686,-0.3809512851135913,0.017996648552317678,0.3503684112218583,0.21555378029329206,2.257821316080791
15,0.010673897665968834,0.3944271424173849,0.1327876797362389,2.032195604141859,0.4363937917336687,-0.4452364240221211,1.395267092541082,-0.07737093366161307,0.022614515913685473,0.39653828971529165,0.2461805895453831,2.357906928283785
16,0.013831376832222703,0.43402132549969036,0.183488948622278,1.9256956337012352,0.4634915665338427,-0.44372233362621677,1.3141655112843191,0.22915593991680427,0.02815679053208104,0.4439591247633885,0.3079879851824868,2.3830353568774036
17,0.018021142168041113,0.4712642066529032,0.23599968790996229,1.7971915212276175,0.48895145448122673,-0.43605989634110504,1.2317180437625121,0.5372287523209842,0.035208489826200375,0.4912122945291705,0.3971382305392635,2.341298148217132
18,0.02325461815194054,0.5058091465748359,0.2878177684012003,1.6560469818031367,0.5127607832840703,-0.42223238495532617,1.1493416223418054,0.8454224654471909,0.0441233073777004,0.5373888235245773,0.4942540663827302,2.2755495235482415
19,0.02949603866086849,0.537492648132937,0.3367269837478606,1.5112051496618089,0.5349346620257688,-0.4022520019066892,1.0683924851088704,1.1522654791710436,0.054974336379476775,0.582203668989297,0.5906797518056845,2.2053070657951617
20,0.03666596290544085,0.566329113347976,0.3805808565874053,1.3715033431485653,0.5555144729647665,-0.3761610186579273,0.9901368199841781,1.456219685795031,0.06771243084449102,0.6256474168069143,0.6828667142965864,2.1386050343513494
